location	LR	alpha
257.000000	0.171349	7.268929e+01
25567.352352	101.805179	3.361328e-05
50877.704705	70.596353	2.123369e-05
76188.057057	120.758677	5.565694e-06
101498.409409	102.410160	2.642691e-06
126808.761762	180.977127	1.596589e-06
152119.114114	436.385757	1.383281e-07
177429.466466	499.821055	1.330291e-07
202739.818819	680.555189	1.509483e-07
228050.171171	754.896612	1.315101e-07
253360.523524	765.898665	1.350334e-07
278670.875876	728.194776	1.395083e-07
303981.228228	637.936653	1.387323e-07
329291.580581	499.477076	1.409288e-07
354601.932933	28.407796	1.224632e-06
379912.285285	68.732225	1.184160e-06
405222.637638	498.194119	1.443426e-07
430532.989990	108.607364	2.094162e-06
455843.342342	135.292921	2.154179e-06
481153.694695	94.062211	2.488658e-06
506464.047047	47.733674	2.410158e-06
531774.399399	91.719051	1.791409e-06
557084.751752	382.212628	1.548581e-07
582395.104104	401.928970	1.528638e-07
607705.456456	544.821826	1.550347e-07
633015.808809	576.659286	1.505251e-07
658326.161161	607.000458	1.457488e-07
683636.513514	591.627064	1.614256e-07
708946.865866	644.563876	1.561272e-07
734257.218218	734.959698	1.506788e-07
759567.570571	750.513527	1.651934e-07
784877.922923	774.693176	1.606792e-07
810188.275275	781.924004	1.621861e-07
835498.627628	818.913061	1.642222e-07
860808.979980	793.946708	1.625760e-07
886119.332332	718.614481	1.633124e-07
911429.684685	658.360805	1.737555e-07
936740.037037	595.972807	1.667435e-07
962050.389389	526.036395	1.750896e-07
987360.741742	508.597845	1.759078e-07
1012671.094094	517.945852	1.838013e-07
1037981.446446	503.103679	1.853971e-07
1063291.798799	425.419206	2.288077e-07
1088602.151151	394.464324	2.223794e-07
1113912.503504	410.477957	2.369846e-07
1139222.855856	272.838855	2.898228e-07
1164533.208208	352.185633	2.755098e-07
1189843.560561	476.933276	2.610386e-07
1215153.912913	483.935330	2.535496e-07
1240464.265265	460.179139	2.946327e-07
1265774.617618	534.520080	2.317019e-07
1291084.969970	548.722094	2.770217e-07
1316395.322322	486.620281	2.680420e-07
1341705.674675	621.915064	2.646578e-07
1367016.027027	651.757223	2.820431e-07
1392326.379379	698.580629	2.746264e-07
1417636.731732	718.878410	2.743896e-07
1442947.084084	675.409854	2.750604e-07
1468257.436436	556.054418	2.802995e-07
1493567.788789	598.391205	2.963478e-07
1518878.141141	633.523430	2.588041e-07
1544188.493493	711.605639	2.571112e-07
1569498.845846	717.502243	3.007094e-07
1594809.198198	748.336775	2.768522e-07
1620119.550551	685.760403	2.705942e-07
1645429.902903	675.962779	2.539503e-07
1670740.255255	611.669465	2.749693e-07
1696050.607608	573.184319	2.874099e-07
1721360.959960	236.041289	1.293210e-06
1746671.312312	635.710657	2.680940e-07
1771981.664665	764.886762	2.686743e-07
1797292.017017	774.298701	2.907593e-07
1822602.369369	782.121088	2.701380e-07
1847912.721722	731.362543	2.980657e-07
1873223.074074	701.925296	2.985245e-07
1898533.426426	615.929819	2.984299e-07
1923843.778779	237.798364	1.286432e-06
1949154.131131	695.462518	2.327268e-07
1974464.483483	698.333145	2.773002e-07
1999774.835836	714.331629	3.150135e-07
2025085.188188	557.904578	3.330188e-07
2050395.540541	646.753930	3.108198e-07
2075705.892893	698.848089	3.073218e-07
2101016.245245	690.113660	3.393130e-07
2126326.597598	727.377875	3.324203e-07
2151636.949950	765.761865	3.480169e-07
2176947.302302	810.690170	3.511061e-07
2202257.654655	816.552370	3.615975e-07
2227568.007007	816.469694	3.690341e-07
2252878.359359	774.167804	3.769298e-07
2278188.711712	756.896181	3.857944e-07
2303499.064064	726.764434	3.965710e-07
2328809.416416	728.840752	4.077144e-07
2354119.768769	674.228652	4.209893e-07
2379430.121121	669.907605	4.343437e-07
2404740.473473	583.986027	4.517137e-07
2430050.825826	606.469769	4.630671e-07
2455361.178178	562.853990	4.759778e-07
2480671.530531	575.430003	4.950095e-07
2505981.882883	510.353098	4.813768e-07
2531292.235235	435.022701	5.053098e-07
2556602.587588	350.019719	5.641479e-07
2581912.939940	111.053262	1.347120e-06
2607223.292292	172.629758	5.809975e-07
2632533.644645	208.529565	7.447812e-07
2657843.996997	275.990618	5.171750e-07
2683154.349349	378.383388	4.809202e-07
2708464.701702	315.362395	5.334731e-07
2733775.054054	316.383184	5.241581e-07
2759085.406406	313.456611	5.184430e-07
2784395.758759	312.288179	5.199151e-07
2809706.111111	327.158936	5.375839e-07
2835016.463463	251.205776	5.220549e-07
2860326.815816	303.075926	5.450321e-07
2885637.168168	367.409788	5.311740e-07
2910947.520521	388.305640	5.523385e-07
2936257.872873	373.631581	5.437492e-07
2961568.225225	367.797107	5.095534e-07
2986878.577578	376.999396	5.011660e-07
3012188.929930	421.787084	4.843647e-07
3037499.282282	422.392834	5.387567e-07
3062809.634635	403.200005	4.953795e-07
3088119.986987	325.615519	5.022088e-07
3113430.339339	148.987756	1.430506e-06
3138740.691692	410.811092	5.219412e-07
3164051.044044	498.747332	5.268445e-07
3189361.396396	461.785821	4.917954e-07
3214671.748749	71.044045	1.446321e-06
3239982.101101	0.000011	3.438502e-01
3265292.453453	348.641133	5.121787e-07
3290602.805806	393.078758	5.673052e-07
3315913.158158	452.069166	4.440867e-07
3341223.510511	558.856365	4.866364e-07
3366533.862863	547.698090	4.696463e-07
3391844.215215	596.390955	4.630890e-07
3417154.567568	689.402523	4.938015e-07
3442464.919920	737.192979	4.382285e-07
3467775.272272	750.084696	4.390568e-07
3493085.624625	679.430250	4.616869e-07
3518395.976977	683.389234	4.801229e-07
3543706.329329	721.396700	5.046137e-07
3569016.681682	768.380205	5.007856e-07
3594327.034034	678.799520	5.020500e-07
3619637.386386	724.738876	4.772302e-07
3644947.738739	700.365629	5.170336e-07
3670258.091091	715.899723	5.116500e-07
3695568.443443	695.446046	5.153903e-07
3720878.795796	711.924853	5.224811e-07
3746189.148148	627.056243	5.430486e-07
3771499.500501	445.887265	5.702481e-07
3796809.852853	446.811789	6.032100e-07
3822120.205205	387.635292	6.130315e-07
3847430.557558	332.759697	6.216206e-07
3872740.909910	248.981073	6.290306e-07
3898051.262262	1.375541	4.549556e-04
3923361.614615	12.947900	1.601043e-06
3948671.966967	93.614745	7.997639e-07
3973982.319319	46.076649	6.529269e-06
3999292.671672	107.093667	7.895103e-07
4024603.024024	14.025887	3.025347e-05
4049913.376376	5.540988	8.219294e-05
4075223.728729	5.815362	2.407925e-04
4100534.081081	97.412933	7.228199e-07
4125844.433433	116.377171	8.622462e-07
4151154.785786	3.664917	1.993336e-04
4176465.138138	153.954267	6.635490e-07
4201775.490490	193.930771	9.739051e-07
4227085.842843	214.148636	8.945823e-07
4252396.195195	122.938207	1.839931e-06
4277706.547548	187.466064	1.113811e-06
4303016.899900	243.711021	1.006082e-06
4328327.252252	233.334486	9.818754e-07
4353637.604605	260.292397	1.005877e-06
4378947.956957	282.993530	9.018889e-07
4404258.309309	293.088221	9.578489e-07
4429568.661662	217.557818	1.086356e-06
4454879.014014	115.716380	1.653791e-06
4480189.366366	152.797115	1.786225e-06
4505499.718719	149.916376	2.297420e-06
4530810.071071	14.705222	4.241298e-06
4556120.423423	10.520224	2.639842e-05
4581430.775776	4.574140	4.340224e-04
4606741.128128	9.607033	8.982890e-05
4632051.480480	14.613483	5.105134e-05
4657361.832833	92.120943	3.619391e-06
4682672.185185	80.540360	2.852323e-06
4707982.537538	67.479779	2.356680e-06
4733292.889890	64.205478	2.585632e-06
4758603.242242	89.140081	2.386383e-06
4783913.594595	127.795187	2.687543e-06
4809223.946947	122.530467	2.520430e-06
4834534.299299	76.021421	2.649038e-06
4859844.651652	23.808108	8.857686e-06
4885155.004004	32.520591	8.769876e-06
4910465.356356	131.861453	4.692691e-06
4935775.708709	70.303062	6.527098e-06
4961086.061061	69.992219	8.311717e-06
4986396.413413	7.077091	2.347006e-05
5011706.765766	0.000011	1.684583e-01
5037017.118118	5.682509	2.739579e-04
5062327.470470	0.287068	3.476819e-01
5087637.822823	0.000020	8.560593e-02
5112948.175175	3.630442	3.761802e-04
5138258.527528	3.155435	4.543852e-04
5163568.879880	2.372609	9.029495e-04
5188879.232232	45.641481	1.210026e-05
5214189.584585	0.692231	1.064514e-03
5239499.936937	17.110265	4.837597e-05
5264810.289289	0.303702	1.527607e-02
5290120.641642	3.422245	3.491471e-04
5315430.993994	7.468509	1.564880e-04
5340741.346346	1.348307	6.087378e-04
5366051.698699	1.571768	9.548516e-06
5391362.051051	41.959712	5.423487e-06
5416672.403403	60.722893	6.986911e-06
5441982.755756	86.198888	5.888984e-06
5467293.108108	1.595904	6.653907e-04
5492603.460460	6.149094	1.252642e-04
5517913.812813	6.369402	2.376057e-04
5543224.165165	0.000011	6.540098e+00
5568534.517518	18.990707	2.194894e-05
5593844.869870	3.079669	1.941958e-04
5619155.222222	0.008687	1.988029e-03
5644465.574575	26.484576	1.350579e-05
5669775.926927	67.991642	3.074261e-06
5695086.279279	90.819898	2.232289e-06
5720396.631632	1.562915	3.090758e-03
5745706.983984	227.261226	1.796754e-06
5771017.336336	276.781408	1.539462e-06
5796327.688689	319.583026	1.406833e-06
5821638.041041	345.153327	1.099495e-06
5846948.393393	309.432322	8.217782e-07
5872258.745746	249.366608	1.172546e-06
5897569.098098	402.366506	5.952432e-07
5922879.450450	439.526757	6.331646e-07
5948189.802803	433.164824	5.964996e-07
5973500.155155	606.037686	5.624391e-07
5998810.507508	682.895838	5.250139e-07
6024120.859860	709.472906	5.265112e-07
6049431.212212	745.254050	4.694455e-07
6074741.564565	705.350014	4.816000e-07
6100051.916917	733.852773	4.677141e-07
6125362.269269	714.143068	4.475380e-07
6150672.621622	709.701258	4.650518e-07
6175982.973974	655.334527	4.423237e-07
6201293.326326	733.423104	4.282527e-07
6226603.678679	685.880992	4.496434e-07
6251914.031031	560.959324	4.717677e-07
6277224.383383	402.159256	5.033989e-07
6302534.735736	386.622713	5.783479e-07
6327845.088088	179.761966	1.212241e-06
6353155.440440	60.885417	2.304265e-05
6378465.792793	70.019591	1.768949e-05
6403776.145145	65.267730	1.719170e-05
6429086.497497	142.929467	5.433334e-07
6454396.849850	314.979567	4.319610e-07
6479707.202202	482.202047	4.045796e-07
6505017.554555	770.836029	3.497154e-07
6530327.906907	902.559882	3.276318e-07
6555638.259259	1043.163708	3.167128e-07
6580948.611612	1221.562584	2.905078e-07
6606258.963964	1259.715531	2.670195e-07
6631569.316316	1406.061070	2.591536e-07
6656879.668669	1477.831426	2.581484e-07
6682190.021021	1526.188224	2.392900e-07
6707500.373373	1575.639036	2.313544e-07
6732810.725726	1635.699742	2.461986e-07
6758121.078078	1649.036060	2.350061e-07
6783431.430430	1631.760725	2.186610e-07
6808741.782783	1755.367506	2.083766e-07
6834052.135135	1809.522185	2.130367e-07
6859362.487487	1848.271672	2.061960e-07
6884672.839840	1885.329901	1.909855e-07
6909983.192192	1929.132442	2.046448e-07
6935293.544545	1982.173963	2.021731e-07
6960603.896897	1993.919584	2.039438e-07
6985914.249249	2022.736715	1.884762e-07
7011224.601602	2078.622994	1.909845e-07
7036534.953954	2092.922794	1.810229e-07
7061845.306306	2117.966890	1.850529e-07
7087155.658659	2157.479618	1.830996e-07
7112466.011011	2174.510271	1.783510e-07
7137776.363363	2150.951966	1.787180e-07
7163086.715716	2144.967995	1.754279e-07
7188397.068068	2157.793515	1.855371e-07
7213707.420420	2218.806133	1.765919e-07
7239017.772773	2225.114545	1.753075e-07
7264328.125125	2269.927489	1.673319e-07
7289638.477477	2304.388115	1.651137e-07
7314948.829830	2300.359871	1.631487e-07
7340259.182182	2285.181537	1.640525e-07
7365569.534535	2319.220428	1.684086e-07
7390879.886887	2357.033429	1.652748e-07
7416190.239239	2335.578346	1.617012e-07
7441500.591592	2400.524891	1.615194e-07
7466810.943944	2412.303913	1.697588e-07
7492121.296296	2457.758809	1.597402e-07
7517431.648649	2478.038714	1.529440e-07
7542742.001001	2443.927090	1.634980e-07
7568052.353353	2463.776463	1.566137e-07
7593362.705706	2429.594857	1.516697e-07
7618673.058058	2389.751367	1.504219e-07
7643983.410410	2469.788397	1.530222e-07
7669293.762763	2511.075922	1.539247e-07
7694604.115115	2531.713859	1.575375e-07
7719914.467467	2537.132754	1.491728e-07
7745224.819820	2510.021583	1.466801e-07
7770535.172172	2510.310048	1.509795e-07
7795845.524525	2538.422148	1.496963e-07
7821155.876877	2500.291688	1.460804e-07
7846466.229229	2518.979164	1.573546e-07
7871776.581582	2504.527855	1.556840e-07
7897086.933934	2517.224346	1.448869e-07
7922397.286286	2512.848628	1.506603e-07
7947707.638639	2490.362517	1.449191e-07
7973017.990991	2533.713193	1.460946e-07
7998328.343343	2461.147492	1.536304e-07
8023638.695696	2454.685641	1.464909e-07
8048949.048048	2549.197575	1.468922e-07
8074259.400400	2596.092234	1.387673e-07
8099569.752753	2616.192168	1.439150e-07
8124880.105105	2625.129025	1.380559e-07
8150190.457457	2612.642935	1.473538e-07
8175500.809810	2488.684018	1.587131e-07
8200811.162162	2552.393313	1.422981e-07
8226121.514515	2651.343488	1.473965e-07
8251431.866867	2684.606316	1.399458e-07
8276742.219219	2663.221570	1.427437e-07
8302052.571572	2615.914363	1.388052e-07
8327362.923924	2659.717630	1.356663e-07
8352673.276276	2691.125250	1.327416e-07
8377983.628629	2661.955375	1.415550e-07
8403293.980981	2632.777710	1.408987e-07
8428604.333333	2580.017753	1.420988e-07
8453914.685686	2548.907504	1.422960e-07
8479225.038038	2495.867320	1.387555e-07
8504535.390390	2482.974649	1.395068e-07
8529845.742743	2452.896848	1.405927e-07
8555156.095095	2420.721042	1.399307e-07
8580466.447447	2458.335135	1.476294e-07
8605776.799800	2534.263233	1.460880e-07
8631087.152152	2584.613495	1.343637e-07
8656397.504505	2627.019109	1.346822e-07
8681707.856857	2704.737413	1.407374e-07
8707018.209209	2743.081897	1.389788e-07
8732328.561562	2782.627240	1.381730e-07
8757638.913914	2781.412229	1.387427e-07
8782949.266266	2804.103822	1.433019e-07
8808259.618619	2824.665157	1.346891e-07
8833569.970971	2856.495654	1.381983e-07
8858880.323323	2853.490480	1.332678e-07
8884190.675676	2877.187437	1.376050e-07
8909501.028028	2814.543389	1.346546e-07
8934811.380380	2878.725379	1.252442e-07
8960121.732733	2889.981836	1.333330e-07
8985432.085085	2868.984935	1.310690e-07
9010742.437437	2836.921994	1.461657e-07
9036052.789790	2828.994774	1.327970e-07
9061363.142142	2788.608542	1.374915e-07
9086673.494494	2833.990266	1.368338e-07
9111983.846847	2876.941650	1.344156e-07
9137294.199199	2861.784490	1.337090e-07
9162604.551552	2830.785014	1.413924e-07
9187914.903904	2832.516440	1.370749e-07
9213225.256256	2741.588672	1.370183e-07
9238535.608609	2769.596097	1.270220e-07
9263845.960961	2809.724207	1.310836e-07
9289156.313313	2810.885577	1.343596e-07
9314466.665666	2757.840550	1.335468e-07
9339777.018018	2744.238014	1.326836e-07
9365087.370370	2754.558121	1.343953e-07
9390397.722723	2668.298530	1.328765e-07
9415708.075075	2703.064420	1.350326e-07
9441018.427427	2740.879504	1.397063e-07
9466328.779780	2766.846436	1.336922e-07
9491639.132132	2743.063607	1.357950e-07
9516949.484484	2688.714361	1.317579e-07
9542259.836837	2693.196653	1.331095e-07
9567570.189189	2666.213683	1.248004e-07
9592880.541542	2631.464891	1.258562e-07
9618190.893894	2526.059073	1.324334e-07
9643501.246246	2573.208575	1.313920e-07
9668811.598599	2502.649175	1.387927e-07
9694121.950951	2549.870590	1.392156e-07
9719432.303303	2545.791806	1.311877e-07
9744742.655656	2436.371688	1.417692e-07
9770053.008008	2495.041510	1.291382e-07
9795363.360360	2510.063557	1.356036e-07
9820673.712713	2502.584989	1.422091e-07
9845984.065065	2438.343930	1.434674e-07
9871294.417417	2217.088810	1.358243e-07
9896604.769770	2406.892128	1.322871e-07
9921915.122122	2370.940749	1.367521e-07
9947225.474474	2371.023707	1.396538e-07
9972535.826827	2401.337850	1.348697e-07
9997846.179179	2310.378098	1.419664e-07
10023156.531532	2353.959697	1.298716e-07
10048466.883884	2342.376491	1.374597e-07
10073777.236236	2439.238865	1.451409e-07
10099087.588589	2473.599479	1.306565e-07
10124397.940941	2391.603824	1.308054e-07
10149708.293293	2484.426417	1.365465e-07
10175018.645646	2476.221074	1.335142e-07
10200328.997998	2491.922156	1.321230e-07
10225639.350350	2551.882973	1.357948e-07
10250949.702703	2614.643148	1.290957e-07
10276260.055055	2621.734928	1.378605e-07
10301570.407407	2620.229781	1.378848e-07
10326880.759760	2593.500163	1.356630e-07
10352191.112112	2534.402106	1.385333e-07
10377501.464464	2439.941034	1.326349e-07
10402811.816817	2463.761454	1.318534e-07
10428122.169169	2464.887034	1.426840e-07
10453432.521522	2482.082740	1.363441e-07
10478742.873874	2484.123210	1.384318e-07
10504053.226226	2495.821708	1.469387e-07
10529363.578579	2367.463490	1.413765e-07
10554673.930931	2361.717029	1.377290e-07
10579984.283283	2450.391839	1.435082e-07
10605294.635636	2447.281358	1.399979e-07
10630604.987988	2485.911144	1.401977e-07
10655915.340340	2453.957852	1.420102e-07
10681225.692693	2467.460885	1.331648e-07
10706536.045045	2491.493613	1.364905e-07
10731846.397397	2478.100822	1.445907e-07
10757156.749750	2391.013518	1.436328e-07
10782467.102102	2360.618867	1.416381e-07
10807777.454454	2385.769131	1.413425e-07
10833087.806807	2358.874037	1.419537e-07
10858398.159159	2301.159361	1.361222e-07
10883708.511512	2356.476843	1.356246e-07
10909018.863864	2294.458986	1.342686e-07
10934329.216216	2226.874445	1.345271e-07
10959639.568569	2272.364351	1.405748e-07
10984949.920921	2302.897255	1.388586e-07
11010260.273273	2322.050404	1.316388e-07
11035570.625626	2311.090338	1.361980e-07
11060880.977978	2270.350599	1.407194e-07
11086191.330330	2213.836226	1.447730e-07
11111501.682683	95.344965	1.881694e-06
11136812.035035	2050.703777	1.303577e-07
11162122.387387	0.271170	5.532698e-04
11187432.739740	2.735884	1.651351e-04
11212743.092092	2104.210839	1.375787e-07
11238053.444444	2177.547105	1.285280e-07
11263363.796797	2204.443989	1.340631e-07
11288674.149149	2269.354399	1.512835e-07
11313984.501502	2307.838686	1.438888e-07
11339294.853854	2288.996707	1.458377e-07
11364605.206206	105.712498	1.966574e-06
11389915.558559	2354.631913	1.365640e-07
11415225.910911	2403.725449	1.391140e-07
11440536.263263	2449.441292	1.476187e-07
11465846.615616	2485.561697	1.342119e-07
11491156.967968	2454.807219	1.280868e-07
11516467.320320	2473.475746	1.464572e-07
11541777.672673	2489.361173	1.347463e-07
11567088.025025	2482.140730	1.411950e-07
11592398.377377	2514.226342	1.436259e-07
11617708.729730	2481.786322	1.401377e-07
11643019.082082	2466.804130	1.356672e-07
11668329.434434	2412.518917	1.386641e-07
11693639.786787	2515.971056	1.369733e-07
11718950.139139	2531.850368	1.364057e-07
11744260.491491	2555.485774	1.382763e-07
11769570.843844	2565.719263	1.391111e-07
11794881.196196	2549.502455	1.402757e-07
11820191.548549	2531.735854	1.404887e-07
11845501.900901	2527.132621	1.356180e-07
11870812.253253	2508.077165	1.418829e-07
11896122.605606	2473.667163	1.307417e-07
11921432.957958	2358.394371	1.454829e-07
11946743.310310	2347.993087	1.324144e-07
11972053.662663	2328.026100	1.442947e-07
11997364.015015	2393.149047	1.431027e-07
12022674.367367	2415.031467	1.300820e-07
12047984.719720	2402.503003	1.403248e-07
12073295.072072	2348.360113	1.406518e-07
12098605.424424	2213.921519	1.361683e-07
12123915.776777	2249.660332	1.378858e-07
12149226.129129	2226.257317	1.537452e-07
12174536.481481	2185.510080	1.488284e-07
12199846.833834	2105.772632	1.487153e-07
12225157.186186	6.929735	7.006600e-05
12250467.538539	9.461503	6.565568e-05
12275777.890891	2088.918602	1.575503e-07
12301088.243243	2085.039765	1.397308e-07
12326398.595596	2055.609441	1.379559e-07
12351708.947948	76.465427	1.904500e-06
12377019.300300	2068.372474	1.415254e-07
12402329.652653	2094.192271	1.443998e-07
12427640.005005	2107.858741	1.336967e-07
12452950.357357	2155.229783	1.280548e-07
12478260.709710	2045.901329	1.358020e-07
12503571.062062	0.592988	3.650110e-03
12528881.414414	2196.166207	1.343683e-07
12554191.766767	2265.710755	1.403864e-07
12579502.119119	2278.742657	1.366028e-07
12604812.471471	2265.960614	1.529645e-07
12630122.823824	2306.397419	1.333818e-07
12655433.176176	2349.671880	1.323608e-07
12680743.528529	2345.300719	1.400386e-07
12706053.880881	2356.763827	1.359246e-07
12731364.233233	2372.136279	1.338268e-07
12756674.585586	2375.609024	1.397187e-07
12781984.937938	2313.433185	1.369476e-07
12807295.290290	2267.641366	1.342200e-07
12832605.642643	2255.617550	1.389379e-07
12857915.994995	2340.340452	1.290887e-07
12883226.347347	2424.947313	1.315893e-07
12908536.699700	2476.106296	1.306624e-07
12933847.052052	2536.237997	1.426947e-07
12959157.404404	2594.189549	1.365017e-07
12984467.756757	2618.899598	1.355268e-07
13009778.109109	2632.526485	1.384769e-07
13035088.461461	2626.219045	1.334516e-07
13060398.813814	2679.330104	1.332855e-07
13085709.166166	2685.285408	1.369378e-07
13111019.518519	2739.634843	1.351296e-07
13136329.870871	2776.914083	1.336518e-07
13161640.223223	2805.772524	1.354604e-07
13186950.575576	2812.583018	1.349270e-07
13212260.927928	2808.721501	1.354445e-07
13237571.280280	2798.816821	1.357421e-07
13262881.632633	2753.847444	1.349898e-07
13288191.984985	2727.448482	1.356707e-07
13313502.337337	2707.198249	1.361803e-07
13338812.689690	2708.259137	1.338155e-07
13364123.042042	2639.833475	1.355946e-07
13389433.394394	2601.910734	1.360314e-07
13414743.746747	2647.004335	1.421503e-07
13440054.099099	2563.150470	1.332314e-07
13465364.451451	2544.190411	1.394761e-07
13490674.803804	2625.453031	1.438049e-07
13515985.156156	2618.959481	1.349404e-07
13541295.508509	2531.384452	1.371722e-07
13566605.860861	2521.947909	1.359682e-07
13591916.213213	2523.275187	1.346980e-07
13617226.565566	2484.723173	1.419722e-07
13642536.917918	2386.972619	1.445756e-07
13667847.270270	2440.386429	1.440268e-07
13693157.622623	2470.438010	1.350166e-07
13718467.974975	2520.457780	1.348439e-07
13743778.327327	2561.701168	1.317830e-07
13769088.679680	2575.689942	1.429697e-07
13794399.032032	2546.278693	1.308779e-07
13819709.384384	2607.010047	1.355722e-07
13845019.736737	2631.245000	1.429590e-07
13870330.089089	2642.959753	1.347690e-07
13895640.441441	2583.138500	1.435818e-07
13920950.793794	2451.475464	1.363438e-07
13946261.146146	2521.453960	1.370006e-07
13971571.498498	2532.436445	1.321214e-07
