location	LR	alpha
257.000000	0.283025	2.274105e+02
25567.352352	0.347421	1.220506e-03
50877.704705	0.008922	3.457709e-03
76188.057057	0.000000	1.261906e-02
101498.409409	0.348505	1.414524e-03
126808.761762	0.013442	2.920982e-03
152119.114114	0.724685	5.422227e-04
177429.466466	0.546503	9.252284e-03
202739.818819	0.000000	9.112873e-03
228050.171171	0.232263	3.381612e-05
253360.523524	0.000000	3.752905e-03
278670.875876	0.044392	4.405700e-05
303981.228228	0.724559	3.581296e-04
329291.580581	0.329961	4.624274e-03
354601.932933	0.569737	5.010659e-04
379912.285285	5.194571	3.149389e-04
405222.637638	0.000000	1.219063e-02
430532.989990	0.320541	8.367102e-04
455843.342342	0.218820	3.808182e-04
481153.694695	0.004154	1.739712e-03
506464.047047	0.277864	5.082548e-04
531774.399399	2.068626	1.632366e-04
557084.751752	0.790704	2.850614e-04
582395.104104	0.000000	1.413496e-01
607705.456456	0.000000	4.693999e-03
633015.808809	0.000000	1.528291e-02
658326.161161	0.526010	6.829447e-05
683636.513514	0.249386	2.407414e-04
708946.865866	0.592151	6.138362e-04
734257.218218	0.000000	8.201101e-03
759567.570571	0.137945	1.363102e-03
784877.922923	0.000000	1.293211e-02
810188.275275	0.288163	5.509878e-04
835498.627628	0.035977	1.014500e-04
860808.979980	0.000236	8.366309e-04
886119.332332	0.000000	3.600109e-01
911429.684685	0.227718	6.132093e-05
936740.037037	0.673530	4.782093e-04
962050.389389	1.681178	1.085618e-04
987360.741742	0.017610	2.927711e-03
1012671.094094	0.000000	3.679920e-02
1037981.446446	0.015389	4.387662e-03
1063291.798799	0.000000	1.304178e+00
1088602.151151	0.440115	1.180851e-03
1113912.503504	0.493051	2.282076e-04
1139222.855856	0.000000	2.187552e-01
1164533.208208	1.216863	8.730672e-04
1189843.560561	0.071766	1.970501e-03
1215153.912913	0.000000	7.225128e-02
1240464.265265	0.411731	7.938939e-05
1265774.617618	0.000000	1.797436e-02
1291084.969970	0.038343	2.488219e-04
1316395.322322	0.886224	1.072566e-03
1341705.674675	0.015801	5.473813e-03
1367016.027027	0.000000	1.088236e+00
1392326.379379	0.115650	1.222535e-03
1417636.731732	0.000000	2.618554e-02
1442947.084084	0.000000	1.272421e-02
1468257.436436	0.345702	1.043462e-02
1493567.788789	0.623549	9.037971e-04
1518878.141141	0.407197	5.670809e-04
1544188.493493	0.186920	4.549409e-03
1569498.845846	0.041097	5.176587e-03
1594809.198198	0.000000	5.903184e-03
1620119.550551	0.776876	1.165603e-03
1645429.902903	0.020075	2.693131e-03
1670740.255255	0.511385	1.753027e-04
1696050.607608	1.813030	3.648139e-04
1721360.959960	1.584104	2.395053e-03
1746671.312312	0.661592	1.910261e-02
1771981.664665	0.000000	3.330232e-02
1797292.017017	1.723165	7.012268e-05
1822602.369369	0.000000	6.911223e-02
1847912.721722	0.186924	2.863168e-02
1873223.074074	0.320355	3.569636e-03
1898533.426426	0.672700	2.676956e-03
1923843.778779	1.400802	2.574734e-04
1949154.131131	2.140610	6.674923e-05
1974464.483483	0.451028	1.526643e-04
1999774.835836	0.000000	1.095726e-02
2025085.188188	0.015467	1.935315e-02
2050395.540541	0.000000	4.204546e-01
2075705.892893	0.704667	1.137980e-04
2101016.245245	0.229454	8.716512e-04
2126326.597598	0.426467	2.741896e-04
2151636.949950	0.577170	2.198822e-04
2176947.302302	0.023766	1.766138e-03
2202257.654655	0.000000	1.353402e-02
2227568.007007	0.000000	1.124641e-02
2252878.359359	3.583407	8.301914e-05
2278188.711712	1.398533	2.312567e-04
2303499.064064	0.117726	3.864394e-03
2328809.416416	0.207285	4.246921e-04
2354119.768769	7.274879	5.354359e-05
2379430.121121	0.012974	2.916863e-03
2404740.473473	0.323415	2.055280e-03
2430050.825826	0.000000	2.075500e-02
2455361.178178	0.296119	8.466099e-04
2480671.530531	0.082386	1.646284e-04
2505981.882883	0.410829	8.059682e-04
2531292.235235	0.583464	3.800308e-04
2556602.587588	0.083334	2.211792e-03
2581912.939940	1.208967	1.833585e-04
2607223.292292	0.125349	1.123884e-02
2632533.644645	0.399253	4.134251e-04
2657843.996997	3.216165	2.311564e-04
2683154.349349	0.099987	2.758622e-03
2708464.701702	1.586699	2.892942e-04
2733775.054054	0.000000	6.075784e-03
2759085.406406	0.660218	2.608280e-04
2784395.758759	1.154207	6.429038e-04
2809706.111111	0.000000	1.251449e-01
2835016.463463	1.006365	9.566573e-04
2860326.815816	3.496005	1.031264e-04
2885637.168168	0.787013	1.208990e-04
2910947.520521	0.016359	1.076010e-02
2936257.872873	0.199165	1.313691e-03
2961568.225225	0.100333	3.607728e-03
2986878.577578	0.681387	1.569314e-04
3012188.929930	0.013624	6.691096e-03
3037499.282282	1.142772	1.603164e-04
3062809.634635	0.016359	3.358882e-02
3088119.986987	0.809535	1.254147e-03
3113430.339339	0.467637	3.251122e-04
3138740.691692	0.016359	3.399269e-02
3164051.044044	0.000000	1.339891e+00
3189361.396396	0.257449	5.925654e-05
3214671.748749	1.640863	1.018539e-03
3239982.101101	0.428345	5.464993e-02
3265292.453453	0.000000	3.366499e-02
3290602.805806	0.007330	6.613938e-03
3315913.158158	0.083002	2.066907e-04
3341223.510511	0.000000	9.177747e-03
3366533.862863	0.803995	3.002444e-04
3391844.215215	0.738363	2.046069e-04
3417154.567568	0.000000	7.997697e-03
3442464.919920	0.079190	1.471963e-03
3467775.272272	0.016359	4.099225e-03
3493085.624625	0.000000	5.697340e-02
3518395.976977	1.183717	1.528890e-04
3543706.329329	0.238733	1.015579e-04
3569016.681682	0.000000	4.955978e-03
3594327.034034	0.051083	2.463956e-02
3619637.386386	0.000000	1.760528e-02
3644947.738739	0.135492	1.118997e-03
3670258.091091	0.156738	6.433287e-04
3695568.443443	0.802167	1.425116e-03
3720878.795796	0.190456	5.668962e-05
3746189.148148	0.000000	1.369632e-02
3771499.500501	0.089801	2.369281e-03
3796809.852853	0.114040	4.660549e-04
3822120.205205	0.074579	7.078726e-04
3847430.557558	0.182142	6.733167e-04
3872740.909910	1.116304	1.608800e-04
3898051.262262	1.331206	8.205101e-04
3923361.614615	0.374367	1.444022e-02
3948671.966967	0.680659	9.412389e-04
3973982.319319	0.226411	1.050527e-03
3999292.671672	0.365366	5.777972e-04
4024603.024024	0.000000	1.171848e+01
4049913.376376	2.743776	1.776349e-04
4075223.728729	0.211334	5.079120e-03
4100534.081081	11.373955	2.600382e-05
4125844.433433	4.740754	6.639761e-05
4151154.785786	1.015892	2.417112e-04
4176465.138138	4.373018	4.787777e-05
4201775.490490	1.451768	1.176408e-04
4227085.842843	0.000000	6.510568e-03
4252396.195195	0.100074	1.255415e-02
4277706.547548	0.083484	1.906746e-03
4303016.899900	0.320235	5.756061e-04
4328327.252252	0.133961	2.757315e-02
4353637.604605	1.030042	2.982136e-04
4378947.956957	3.384087	1.191343e-04
4404258.309309	0.000000	6.616344e-03
4429568.661662	2.394839	3.962155e-05
4454879.014014	7.282894	1.371505e-04
4480189.366366	0.196592	2.277021e-03
4505499.718719	0.352087	5.567519e-04
4530810.071071	1.803703	9.364767e-04
4556120.423423	0.313086	4.128385e-03
4581430.775776	0.498564	6.472742e-03
4606741.128128	2.192535	1.674131e-04
4632051.480480	0.329714	1.737714e-04
4657361.832833	1.338303	3.564480e-05
4682672.185185	1.523554	1.188833e-04
4707982.537538	1.505260	5.458484e-04
4733292.889890	1.373647	2.656880e-03
4758603.242242	0.064890	6.113551e-04
4783913.594595	0.062309	5.399203e-03
4809223.946947	0.319649	2.692203e-04
4834534.299299	1.432225	8.636870e-04
4859844.651652	0.527204	4.198876e-03
4885155.004004	0.823090	3.180477e-04
4910465.356356	0.042203	1.017737e-02
4935775.708709	0.149985	2.221931e-02
4961086.061061	0.186414	7.774151e-03
4986396.413413	0.133961	7.399731e-01
5011706.765766	1.550493	1.161566e-02
5037017.118118	1.631616	3.677827e-04
5062327.470470	0.794413	2.070139e-01
5087637.822823	1.542626	7.957403e-03
5112948.175175	0.149037	1.088829e-03
5138258.527528	1.901250	5.678612e-04
5163568.879880	0.231788	1.052228e-02
5188879.232232	0.052063	5.867678e-02
5214189.584585	1.175572	3.449765e-03
5239499.936937	0.179309	5.678261e-04
5264810.289289	1.089989	9.018314e-03
5290120.641642	1.872515	6.677455e-04
5315430.993994	3.436163	1.806193e-04
5340741.346346	2.633826	4.811809e-04
5366051.698699	0.361515	2.953424e-02
5391362.051051	2.576166	1.728554e-04
5416672.403403	0.772169	3.729995e-04
5441982.755756	0.898977	5.252136e-05
5467293.108108	0.635684	9.918945e-04
5492603.460460	1.368364	1.836932e-04
5517913.812813	1.382334	2.235378e-04
5543224.165165	1.852670	3.762999e-01
5568534.517518	2.830757	3.520089e-05
5593844.869870	0.455343	1.298094e-04
5619155.222222	0.618351	1.724424e-02
5644465.574575	0.052044	1.084286e-02
5669775.926927	0.940470	3.123652e-04
5695086.279279	0.000000	4.566335e-01
5720396.631632	2.536181	2.605268e-03
5745706.983984	0.000000	1.035361e-02
5771017.336336	0.191493	1.241159e-03
5796327.688689	0.000000	5.947400e-03
5821638.041041	0.000000	1.098860e-02
5846948.393393	0.000000	6.689210e-02
5872258.745746	6.832719	7.630343e-05
5897569.098098	7.199977	2.479494e-05
5922879.450450	1.499660	4.833811e-04
5948189.802803	0.353288	1.498290e-03
5973500.155155	0.016359	3.007331e-03
5998810.507508	0.000000	4.407726e-03
6024120.859860	0.000000	5.878316e-02
6049431.212212	0.000000	2.782853e-02
6074741.564565	1.077909	1.372510e-04
6100051.916917	2.039990	8.817795e-05
6125362.269269	0.011476	1.816115e-03
6150672.621622	0.034151	1.261864e-03
6175982.973974	1.714389	2.251220e-04
6201293.326326	0.000000	5.040590e-03
6226603.678679	0.000000	1.331379e-02
6251914.031031	0.578609	2.084789e-04
6277224.383383	0.000000	2.936738e-02
6302534.735736	0.000000	4.851282e-01
6327845.088088	0.000000	2.443041e+00
6353155.440440	0.000000	9.645962e-01
6378465.792793	0.000000	8.403788e-02
6403776.145145	0.056575	2.610544e-02
6429086.497497	0.365770	6.797762e-03
6454396.849850	0.320345	1.911943e-02
6479707.202202	0.090467	4.052574e-03
6505017.554555	0.011035	1.322215e-03
6530327.906907	0.007751	1.416747e-02
6555638.259259	0.000000	5.519593e-01
6580948.611612	0.000000	2.932830e-03
6606258.963964	0.176380	5.211745e-03
6631569.316316	0.000000	6.654972e-02
6656879.668669	4.923030	1.132452e-05
6682190.021021	0.278873	3.357249e-05
6707500.373373	0.000000	4.712783e-02
6732810.725726	0.000000	2.416299e-03
6758121.078078	0.002610	3.685580e-03
6783431.430430	2.417514	2.168288e-04
6808741.782783	0.071908	3.970040e-04
6834052.135135	0.000000	4.070371e-03
6859362.487487	0.000000	1.316493e-02
6884672.839840	0.000000	1.753975e-02
6909983.192192	0.000000	4.746690e-02
6935293.544545	0.000000	1.573679e-02
6960603.896897	0.000000	8.113763e-02
6985914.249249	0.000000	1.209078e-01
7011224.601602	0.032759	1.776823e-03
7036534.953954	0.011116	1.520825e-03
7061845.306306	0.329458	3.325558e-04
7087155.658659	0.000000	5.232377e-02
7112466.011011	0.000000	9.516342e-03
7137776.363363	0.000000	7.333323e-02
7163086.715716	0.748695	1.275538e-03
7188397.068068	1.543928	1.205599e-04
7213707.420420	0.185212	6.979331e-04
7239017.772773	0.025899	4.825334e-04
7264328.125125	0.000000	4.769239e-03
7289638.477477	0.000000	4.061224e-02
7314948.829830	0.000000	1.332105e-02
7340259.182182	0.186924	6.852259e-03
7365569.534535	0.000000	1.469750e-02
7390879.886887	0.000000	1.812379e-02
7416190.239239	0.052044	3.391776e-02
7441500.591592	0.886785	5.035568e-05
7466810.943944	1.518641	1.204959e-04
7492121.296296	0.000000	5.316706e-02
7517431.648649	0.097384	3.228854e-04
7542742.001001	0.000000	3.269764e-02
7568052.353353	0.000000	1.002953e-01
7593362.705706	0.306222	1.659730e-04
7618673.058058	0.000000	2.891971e-02
7643983.410410	0.000000	1.040393e-02
7669293.762763	0.033995	7.965708e-04
7694604.115115	0.000000	4.165003e-02
7719914.467467	0.000000	4.513879e-03
7745224.819820	0.276568	8.931560e-04
7770535.172172	0.000000	2.165393e-02
7795845.524525	0.000000	4.546273e-03
7821155.876877	1.280462	6.656651e-05
7846466.229229	0.000000	1.090682e-02
7871776.581582	0.646727	2.991568e-04
7897086.933934	0.131200	5.346573e-04
7922397.286286	0.022658	3.610515e-03
7947707.638639	2.251089	1.693925e-04
7973017.990991	0.210486	2.721087e-05
7998328.343343	0.500352	1.912170e-03
8023638.695696	0.802167	6.046459e-03
8048949.048048	0.257168	3.199565e-03
8074259.400400	0.262177	1.926375e-04
8099569.752753	0.332524	1.877214e-04
8124880.105105	0.029674	6.971819e-05
8150190.457457	0.000000	1.255831e-02
8175500.809810	1.003779	2.487033e-04
8200811.162162	0.000000	5.495050e-01
8226121.514515	0.059770	4.495500e-04
8251431.866867	0.000000	1.244642e-02
8276742.219219	0.000000	2.353954e-02
8302052.571572	0.474390	1.018029e-04
