location	LR	alpha
30.000000	0.000000	1.200000e+03
25342.213213	0.000000	7.091646e-02
50654.426426	0.000000	3.851418e-02
75966.639640	0.000000	9.496650e-02
101278.852853	0.000000	8.227472e-02
126591.066066	0.000000	4.090073e+00
151903.279279	0.000000	4.141921e-02
177215.492492	2.617628	1.502855e-03
202527.705706	0.000000	3.147176e-02
227839.918919	2.985355	7.174033e-04
253152.132132	0.000000	4.685083e-02
278464.345345	2.128927	3.043480e-03
303776.558559	0.000000	4.219196e-01
329088.771772	0.000000	3.776939e-01
354400.984985	0.000000	1.333556e-01
379713.198198	0.000000	6.410319e-02
405025.411411	5.921901	1.006011e-03
430337.624625	1.167783	2.366397e-03
455649.837838	0.000000	1.710324e-01
480962.051051	11.049819	3.613159e-03
506274.264264	0.000000	1.631021e+01
531586.477477	0.000000	9.714831e-02
556898.690691	0.000000	5.196360e+00
582210.903904	13.803595	1.611106e-03
607523.117117	0.000000	1.961709e+00
632835.330330	0.000000	1.254316e-01
658147.543544	1.349559	1.344498e-02
683459.756757	1.700295	4.439598e-03
708771.969970	0.000000	1.874121e-01
734084.183183	0.000000	1.301756e-01
759396.396396	1.067080	4.927599e-02
784708.609610	0.000000	1.968473e+01
810020.822823	0.000000	4.251065e+00
835333.036036	0.508680	2.158518e-03
860645.249249	0.000000	2.824028e+00
885957.462462	1.765400	1.234863e-02
911269.675676	0.000000	1.606949e-01
936581.888889	1.891798	1.250213e-02
961894.102102	0.000000	5.023068e-02
987206.315315	50.064096	3.877848e-04
1012518.528529	0.000000	4.523433e-01
1037830.741742	0.000000	3.665047e-01
1063142.954955	0.147987	4.637947e-02
1088455.168168	0.000000	1.670569e-01
1113767.381381	0.473042	6.302078e-03
1139079.594595	0.000000	6.124139e-01
1164391.807808	11.084693	3.222365e-04
1189704.021021	0.000000	2.410133e+00
1215016.234234	0.000000	2.318135e-01
1240328.447447	0.611861	9.977242e-04
1265640.660661	0.000000	1.565340e-01
1290952.873874	0.000000	7.588881e-02
1316265.087087	0.493252	1.056590e-01
1341577.300300	0.000000	1.040761e-01
1366889.513514	0.031589	4.590611e-02
1392201.726727	0.000000	8.148451e-01
1417513.939940	0.351942	7.725665e-02
1442826.153153	0.000000	2.148734e-01
1468138.366366	0.000000	3.027732e-01
1493450.579580	4.524934	3.876867e-03
1518762.792793	25.411376	3.311718e-04
1544075.006006	3.518013	1.369202e-03
1569387.219219	2.160210	1.586498e-02
1594699.432432	0.786705	9.647949e-03
1620011.645646	0.000000	2.881455e-01
1645323.858859	26.624286	6.176076e-04
1670636.072072	1.765860	4.885953e-03
1695948.285285	9.623166	2.556047e-04
1721260.498498	1.206751	2.293782e-02
1746572.711712	0.000000	7.180594e-01
1771884.924925	0.010970	6.034187e-02
1797197.138138	0.000000	2.176333e-03
1822509.351351	0.000000	6.950534e-02
1847821.564565	0.000000	6.463930e-01
1873133.777778	0.000000	1.852488e-01
1898445.990991	0.322198	2.064340e-01
1923758.204204	0.000000	9.104995e-02
1949070.417417	0.000000	4.827371e-02
1974382.630631	0.000000	7.436356e-02
1999694.843844	0.000000	1.099343e-01
2025007.057057	42.799786	5.539467e-04
2050319.270270	0.193291	6.914713e-03
2075631.483483	0.000000	1.472691e-01
2100943.696697	0.000000	1.121842e+00
2126255.909910	0.000000	1.318812e+01
2151568.123123	0.000000	3.842308e+00
2176880.336336	0.000000	1.531857e-01
2202192.549550	0.000000	6.876616e-01
2227504.762763	0.000000	4.951061e-01
2252816.975976	22.740328	5.693533e-04
2278129.189189	0.911299	1.425223e-02
2303441.402402	0.000000	8.220533e-01
2328753.615616	1.948218	1.414375e-03
2354065.828829	29.022196	5.044409e-04
2379378.042042	0.000000	1.763616e-01
2404690.255255	0.581455	1.052584e-02
2430002.468468	0.000000	7.757718e-01
2455314.681682	0.000000	4.852048e-02
2480626.894895	0.000000	2.733803e-01
2505939.108108	0.000000	1.919668e-02
2531251.321321	0.000000	1.287372e+00
2556563.534535	0.000000	7.257538e-01
2581875.747748	5.196907	9.684148e-04
2607187.960961	0.465523	7.054926e-03
2632500.174174	0.000000	1.943580e+00
2657812.387387	0.000000	1.106386e-02
2683124.600601	0.000000	5.001252e+00
2708436.813814	0.326727	5.367745e-02
2733749.027027	9.589302	1.255821e-03
2759061.240240	0.000000	3.405199e-01
2784373.453453	0.799249	2.871602e-03
2809685.666667	0.000000	1.782179e-01
2834997.879880	0.000000	5.082160e-02
2860310.093093	0.000000	4.779104e-02
2885622.306306	0.000000	4.239340e-01
2910934.519520	0.000000	1.041710e+00
2936246.732733	0.448399	9.586463e-03
2961558.945946	1.143958	4.431047e-03
2986871.159159	0.000000	1.035233e+01
3012183.372372	0.000000	1.028916e-01
3037495.585586	0.658964	1.050357e-02
3062807.798799	2.588026	1.993847e-02
3088120.012012	0.000000	8.578790e-01
3113432.225225	0.701798	8.998604e-03
3138744.438438	0.378159	1.956308e-02
3164056.651652	1.683015	9.822408e-03
3189368.864865	0.000000	1.120081e-01
3214681.078078	0.000000	2.304233e-01
3239993.291291	0.108168	9.349618e-02
3265305.504505	2.320580	2.192401e-02
3290617.717718	0.000000	1.046046e-01
3315929.930931	12.967491	7.944284e-04
3341242.144144	0.159279	2.375252e-02
3366554.357357	0.000000	7.336151e-01
3391866.570571	0.000000	7.729821e-03
3417178.783784	6.538040	3.235290e-03
3442490.996997	0.000000	1.500564e+00
3467803.210210	0.796727	2.323798e-03
3493115.423423	16.590233	5.715483e-04
3518427.636637	34.872580	5.255335e-04
3543739.849850	0.000000	2.051335e+00
3569052.063063	0.000000	9.947723e-01
3594364.276276	7.128866	2.394093e-03
3619676.489489	25.276363	8.641376e-04
3644988.702703	0.000000	4.240688e-01
3670300.915916	1.744166	2.610433e-03
3695613.129129	6.468240	2.789486e-04
3720925.342342	1.576745	5.952375e-03
3746237.555556	0.000000	9.052811e-02
3771549.768769	0.259709	3.493302e-03
3796861.981982	0.000000	1.071257e-01
3822174.195195	0.000000	1.018635e-01
3847486.408408	0.000000	3.295942e-01
3872798.621622	0.144729	3.876001e-03
3898110.834835	0.000000	1.961901e-01
3923423.048048	0.000000	6.331804e-01
3948735.261261	2.743293	1.672065e-03
3974047.474474	0.000000	8.482098e-02
3999359.687688	0.000000	3.398249e-01
4024671.900901	0.000000	1.331867e-01
4049984.114114	0.000000	2.454696e-01
4075296.327327	6.135759	4.803002e-04
4100608.540541	13.417112	1.828848e-03
4125920.753754	0.234619	6.808393e-03
4151232.966967	4.606895	5.218213e-04
4176545.180180	0.000000	6.560318e-03
4201857.393393	2.004299	3.910442e-03
4227169.606607	0.000000	7.469160e+00
4252481.819820	0.000000	7.236773e-02
4277794.033033	0.868500	9.823379e-03
4303106.246246	17.204849	1.406326e-04
4328418.459459	0.000000	1.830928e-01
4353730.672673	0.000000	2.568124e+00
4379042.885886	0.000000	1.335026e-01
4404355.099099	0.000000	1.100827e+00
4429667.312312	0.000000	5.147496e-01
4454979.525526	1.015004	1.051457e-02
4480291.738739	0.000000	7.169002e-01
4505603.951952	3.895424	6.637381e-03
4530916.165165	0.323848	3.967380e-02
4556228.378378	0.000000	2.430214e-01
4581540.591592	0.000000	9.869105e-02
4606852.804805	0.000000	1.941597e-01
4632165.018018	0.067005	3.270051e-02
4657477.231231	1.177009	3.241291e-03
4682789.444444	1.116059	3.151470e-01
4708101.657658	0.000000	3.395361e-01
4733413.870871	0.968012	2.784013e-02
4758726.084084	0.456757	8.648713e-02
4784038.297297	0.000000	3.182796e-01
4809350.510511	0.000000	6.150531e-01
4834662.723724	0.345171	3.049842e-02
4859974.936937	20.337304	3.835188e-04
4885287.150150	0.000000	1.472366e+00
4910599.363363	0.172461	8.153315e-03
4935911.576577	0.000000	5.601347e-01
4961223.789790	0.000000	3.261776e-01
4986536.003003	0.777833	3.943904e-02
5011848.216216	0.000000	2.508475e+00
5037160.429429	0.675401	6.859176e-02
5062472.642643	0.306063	7.517819e-02
5087784.855856	0.186992	5.744437e-02
5113097.069069	2.035932	7.770869e-03
5138409.282282	0.949938	2.940222e-02
5163721.495495	11.041246	2.096686e-03
5189033.708709	5.575691	1.164659e-02
5214345.921922	0.040536	1.328288e-01
5239658.135135	3.008411	7.331423e-03
5264970.348348	0.245174	1.489107e-01
5290282.561562	0.000000	2.157668e+00
5315594.774775	0.645359	1.739313e-02
5340906.987988	0.997317	1.681812e-01
5366219.201201	1.763874	1.064598e-02
