location	LR	alpha
30.000000	0.000000	1.200000e+03
25342.213213	0.000000	7.091646e-02
50654.426426	0.000000	3.851418e-02
75966.639640	0.000000	9.496650e-02
101278.852853	0.000000	8.227472e-02
126591.066066	0.000000	4.090073e+00
151903.279279	0.000000	4.141921e-02
177215.492492	2.143144	1.438265e-03
202527.705706	0.000000	3.147176e-02
227839.918919	2.334971	7.410177e-04
253152.132132	0.000000	4.685083e-02
278464.345345	1.502758	3.277156e-03
303776.558559	0.000000	4.219196e-01
329088.771772	0.000000	3.776939e-01
354400.984985	0.000000	1.333556e-01
379713.198198	0.000000	6.410319e-02
405025.411411	6.696092	8.582969e-04
430337.624625	1.089527	2.366417e-03
455649.837838	0.000000	1.710324e-01
480962.051051	10.088090	3.619242e-03
506274.264264	0.000000	1.631021e+01
531586.477477	0.000000	9.714831e-02
556898.690691	0.000000	5.196360e+00
582210.903904	12.290696	1.512388e-03
607523.117117	0.000000	1.961709e+00
632835.330330	1.450359	7.247895e-04
658147.543544	0.921238	1.410139e-02
683459.756757	1.789922	4.104945e-03
708771.969970	0.000000	1.874121e-01
734084.183183	0.000000	1.301756e-01
759396.396396	0.773326	4.837200e-02
784708.609610	0.000000	1.968473e+01
810020.822823	0.000000	4.251065e+00
835333.036036	0.075518	2.174991e-03
860645.249249	0.000000	2.824028e+00
885957.462462	1.640669	1.170392e-02
911269.675676	0.000000	1.606949e-01
936581.888889	1.825026	1.154850e-02
961894.102102	0.000000	5.023068e-02
987206.315315	44.770997	3.975528e-04
1012518.528529	0.000000	4.523433e-01
1037830.741742	0.000000	3.665047e-01
1063142.954955	0.052263	4.998061e-02
1088455.168168	0.000000	1.670569e-01
1113767.381381	0.698756	5.846102e-03
1139079.594595	0.000000	6.124139e-01
1164391.807808	8.688098	3.365476e-04
1189704.021021	0.000000	2.410133e+00
1215016.234234	0.000000	2.318135e-01
1240328.447447	0.378028	1.026099e-03
1265640.660661	0.000000	1.565340e-01
1290952.873874	0.000000	7.588881e-02
1316265.087087	0.302121	1.148569e-01
1341577.300300	0.000000	1.040761e-01
1366889.513514	0.033207	4.389702e-02
1392201.726727	0.000000	8.148451e-01
1417513.939940	0.240138	7.760117e-02
1442826.153153	0.000000	2.148734e-01
1468138.366366	0.000000	3.027732e-01
1493450.579580	3.584431	4.063066e-03
1518762.792793	19.106673	3.332810e-04
1544075.006006	5.513390	1.286405e-03
1569387.219219	1.607711	1.637337e-02
1594699.432432	0.671939	9.455737e-03
1620011.645646	0.000000	2.881455e-01
1645323.858859	26.669273	5.973627e-04
1670636.072072	1.885727	4.844493e-03
1695948.285285	8.852041	2.478688e-04
1721260.498498	0.985969	2.417497e-02
1746572.711712	0.000000	7.180594e-01
1771884.924925	0.000000	3.236676e-01
1797197.138138	0.000000	2.176333e-03
1822509.351351	0.000000	6.950534e-02
1847821.564565	0.000000	6.463930e-01
1873133.777778	0.000000	1.852488e-01
1898445.990991	0.181762	3.838276e-01
1923758.204204	0.000000	9.104995e-02
1949070.417417	0.000000	4.827371e-02
1974382.630631	0.000000	7.436356e-02
1999694.843844	0.000000	1.099343e-01
2025007.057057	40.554258	5.210198e-04
2050319.270270	0.149649	6.935761e-03
2075631.483483	0.000000	1.472691e-01
2100943.696697	0.000000	1.121842e+00
2126255.909910	0.000000	1.318812e+01
2151568.123123	0.000000	3.842308e+00
2176880.336336	0.000000	1.531857e-01
2202192.549550	0.000000	6.876616e-01
2227504.762763	0.000000	4.951061e-01
2252816.975976	22.006693	5.220723e-04
2278129.189189	0.698491	1.556131e-02
2303441.402402	0.000000	8.220533e-01
2328753.615616	2.723669	8.739039e-04
2354065.828829	29.497583	4.524373e-04
2379378.042042	0.000000	1.763616e-01
2404690.255255	0.400847	1.081250e-02
2430002.468468	0.000000	7.757718e-01
2455314.681682	0.000000	4.852048e-02
2480626.894895	0.000000	2.733803e-01
2505939.108108	0.000000	1.919668e-02
2531251.321321	0.000000	1.287372e+00
2556563.534535	0.000000	7.257538e-01
2581875.747748	5.733911	9.398681e-04
2607187.960961	0.260675	7.393894e-03
2632500.174174	0.000000	1.943580e+00
2657812.387387	0.000000	1.106386e-02
2683124.600601	0.000000	5.001252e+00
2708436.813814	0.987957	2.696762e-03
2733749.027027	8.410283	1.314407e-03
2759061.240240	0.000000	3.405199e-01
2784373.453453	0.516552	2.756237e-03
2809685.666667	0.000000	1.782179e-01
2834997.879880	0.000000	5.082160e-02
2860310.093093	0.000000	4.779104e-02
2885622.306306	0.000000	4.239340e-01
2910934.519520	0.000000	1.041710e+00
2936246.732733	0.244555	9.962785e-03
2961558.945946	1.018500	4.527096e-03
2986871.159159	0.000000	1.035233e+01
3012183.372372	0.000000	1.028916e-01
3037495.585586	0.468736	1.053790e-02
3062807.798799	1.941642	2.039499e-02
3088120.012012	0.000000	8.578790e-01
3113432.225225	0.632869	8.832453e-03
3138744.438438	0.320568	1.911585e-02
3164056.651652	1.108582	9.567281e-03
3189368.864865	0.000000	1.120081e-01
3214681.078078	0.000000	2.304233e-01
3239993.291291	0.053625	9.696128e-02
3265305.504505	2.174375	2.159958e-02
3290617.717718	0.000000	1.046046e-01
3315929.930931	14.760235	6.593002e-04
3341242.144144	0.064795	2.498639e-02
3366554.357357	0.000000	7.336151e-01
3391866.570571	0.000000	7.729821e-03
3417178.783784	6.074416	3.206605e-03
3442490.996997	0.000000	1.500564e+00
3467803.210210	0.380969	2.231316e-03
3493115.423423	14.630723	5.967014e-04
3518427.636637	33.199398	4.810319e-04
3543739.849850	0.000000	2.051335e+00
3569052.063063	0.000000	9.947723e-01
3594364.276276	5.509979	2.442988e-03
3619676.489489	23.812258	7.930049e-04
3644988.702703	0.000000	4.240688e-01
3670300.915916	1.989392	2.357457e-03
3695613.129129	6.770998	2.572616e-04
3720925.342342	1.408436	6.277816e-03
3746237.555556	0.000000	9.052811e-02
3771549.768769	0.337833	3.384737e-03
3796861.981982	0.000000	1.071257e-01
3822174.195195	0.000000	1.018635e-01
3847486.408408	0.000000	3.295942e-01
3872798.621622	0.000000	4.549182e-01
3898110.834835	0.000000	1.961901e-01
3923423.048048	0.046355	2.181584e-02
3948735.261261	2.428337	1.726915e-03
3974047.474474	0.046191	1.144493e-03
3999359.687688	0.000000	3.398249e-01
4024671.900901	0.000000	1.331867e-01
4049984.114114	0.000000	2.454696e-01
4075296.327327	6.157200	5.025408e-04
4100608.540541	10.945734	1.827576e-03
4125920.753754	0.191987	6.719261e-03
4151232.966967	2.338352	5.171785e-04
4176545.180180	0.000000	6.560318e-03
4201857.393393	2.205138	3.871446e-03
4227169.606607	0.000000	7.469160e+00
4252481.819820	0.000000	7.236773e-02
4277794.033033	0.730327	1.143635e-02
4303106.246246	10.181588	1.394404e-04
4328418.459459	0.000000	1.830928e-01
4353730.672673	0.000000	2.568124e+00
4379042.885886	0.000000	1.335026e-01
4404355.099099	0.000000	1.100827e+00
4429667.312312	0.000000	5.147496e-01
4454979.525526	0.562173	1.091442e-02
4480291.738739	0.000000	7.169002e-01
4505603.951952	3.527186	5.800707e-03
4530916.165165	0.261773	4.075192e-02
4556228.378378	0.000000	2.430214e-01
4581540.591592	0.000000	9.869105e-02
4606852.804805	0.000000	1.941597e-01
4632165.018018	0.006267	3.659329e-02
4657477.231231	0.959215	3.319766e-03
4682789.444444	0.953748	3.372537e-01
4708101.657658	0.000000	3.395361e-01
4733413.870871	0.824105	2.402149e-02
4758726.084084	0.398059	8.496467e-02
4784038.297297	0.000000	3.182796e-01
4809350.510511	0.000000	6.150531e-01
4834662.723724	0.306388	2.998008e-02
4859974.936937	11.889324	4.055119e-04
4885287.150150	0.000000	1.472366e+00
4910599.363363	0.272866	8.185745e-03
4935911.576577	0.000000	5.601347e-01
4961223.789790	0.000000	3.261776e-01
4986536.003003	0.707810	3.765257e-02
5011848.216216	0.000000	2.508475e+00
5037160.429429	0.562350	6.589361e-02
5062472.642643	0.260104	7.569113e-02
5087784.855856	0.104461	6.120984e-02
5113097.069069	1.267441	8.431047e-03
5138409.282282	0.677575	3.031694e-02
5163721.495495	6.775886	2.164498e-03
5189033.708709	4.204262	1.150583e-02
5214345.921922	0.011039	1.461179e-01
5239658.135135	1.518279	7.491670e-03
5264970.348348	0.146919	1.514764e-01
5290282.561562	0.000000	2.157668e+00
5315594.774775	0.492214	1.757566e-02
5340906.987988	0.732260	1.627070e-01
5366219.201201	1.756650	1.042301e-02
